Speed (km/h),Temperature (°C),Road Surface,Grip Level,Wear Level
80,49.0109849037702,Wet,0.8843156321692242,0.47515180286823305
90,45.372753218398856,Dry,0.9409215541071859,0.22187274162708723
70,49.934434683002586,Gravel,0.764225091401154,0.5834324131374675
90,48.861223846483284,Gravel,0.8208294900506469,0.54322859311908
90,45.99357840767086,Gravel,0.8266877407512514,0.29813965515593144
60,45.027610585618014,Wet,0.9640994751148138,0.2051435737994757
70,49.07730714227417,Gravel,0.6876038768018384,0.5615770352693283
70,48.53428671923808,Gravel,0.7567091057861545,0.4209976995593394
70,48.64503584020494,Gravel,0.7222733093451037,0.4347139513241176
90,48.856351733429726,Gravel,0.735542457067047,0.4823161654880368
80,45.37022325867045,Dry,0.8055839622828946,0.3921598144903832
70,46.792328642721365,Dry,0.7768060601282147,0.5190140542226545
100,45.57934529762565,Gravel,0.7684074400428416,0.4948623850900632
90,49.315517129377966,Wet,0.9082639422178934,0.5464700226540604
60,48.11649063413779,Dry,0.9490050504432495,0.45325089191655915
80,46.65449012426325,Gravel,0.6811248392548631,0.47337459088998485
100,45.31779175143012,Dry,0.712675615284608,0.40950633774349693
100,46.55491160857831,Dry,0.8513430550472151,0.40310834467314616
60,46.625916610133736,Wet,0.7775940343888491,0.27106843817284776
80,48.64803089169032,Gravel,0.7362490947209216,0.5163218708546072
90,48.18778735677606,Gravel,0.7435871765256815,0.5099475898587078
50,49.436063712881634,Wet,0.7717652292715801,0.4765031752881045
80,47.36107462580975,Wet,0.9146009384774023,0.49334954564757544
60,45.59797122969151,Gravel,0.7109863994326086,0.40740485615116656
100,48.56622393611497,Gravel,0.8626732990730355,0.3333297866853231
90,48.803925243084485,Wet,0.8208459930723723,0.35826684305802986
80,47.806385987847484,Dry,0.7489530430943395,0.32050445566946195
50,48.85483589977281,Dry,0.8009342569338829,0.39027444296384894
50,47.46897798182195,Wet,0.7518620830783374,0.2610684993295091
70,47.61366414690997,Dry,0.8484541132597041,0.43774944823956724
70,47.137705091792746,Wet,0.689478254120072,0.3437203663024729
60,45.12709563372048,Dry,0.6715554588321959,0.3992587032886322
80,45.539457134966526,Dry,0.8483683244845908,0.326408128989
80,45.15714592843367,Gravel,0.7182821860536126,0.40762701926051037
100,48.1820520563189,Gravel,0.6712822750999782,0.36582841196565
